Clients, Delay (ms)
16 Pubs and Subs ,624.25
16 Pubs and Subs ,637.67
16 Pubs and Subs ,642.23
16 Pubs and Subs ,644.67
16 Pubs and Subs ,648.79
16 Pubs and Subs ,654.21
16 Pubs and Subs ,660.44
16 Pubs and Subs ,660.72
16 Pubs and Subs ,661.62
16 Pubs and Subs ,662.18
16 Pubs and Subs ,663.86
16 Pubs and Subs ,667.43
16 Pubs and Subs ,669.06
16 Pubs and Subs ,677.08
16 Pubs and Subs ,678.31
16 Pubs and Subs ,688.16
16 Pubs and Subs ,8879.96
16 Pubs and Subs ,8927.90
16 Pubs and Subs ,8929.15
16 Pubs and Subs ,8932.10
16 Pubs and Subs ,8948.00
16 Pubs and Subs ,8951.58
16 Pubs and Subs ,8957.85
16 Pubs and Subs ,8958.82
16 Pubs and Subs ,8964.85
16 Pubs and Subs ,8969.79
16 Pubs and Subs ,8981.46
16 Pubs and Subs ,8983.97
16 Pubs and Subs ,8986.19
16 Pubs and Subs ,9001.19
16 Pubs and Subs ,9025.15
16 Pubs and Subs ,9032.91
16 Pubs and Subs ,9057.90
16 Pubs and Subs ,9060.97
16 Pubs and Subs ,9098.95
16 Pubs and Subs ,9100.33
16 Pubs and Subs ,9137.48
16 Pubs and Subs ,9149.65
16 Pubs and Subs ,9150.19
16 Pubs and Subs ,9153.55
16 Pubs and Subs ,9159.15
16 Pubs and Subs ,9162.86
16 Pubs and Subs ,9165.49
16 Pubs and Subs ,9167.20
16 Pubs and Subs ,9169.67
16 Pubs and Subs ,9171.95
16 Pubs and Subs ,9175.12
16 Pubs and Subs ,9247.23
16 Pubs and Subs ,9224.42
16 Pubs and Subs ,9231.71
16 Pubs and Subs ,9273.16
16 Pubs and Subs ,9283.38
16 Pubs and Subs ,9300.72
16 Pubs and Subs ,9304.06
16 Pubs and Subs ,9319.59
16 Pubs and Subs ,9332.47
16 Pubs and Subs ,9347.88
16 Pubs and Subs ,9350.56
16 Pubs and Subs ,9350.74
16 Pubs and Subs ,9350.81
16 Pubs and Subs ,9353.59
16 Pubs and Subs ,9360.17
16 Pubs and Subs ,9391.62
