PID, Clients, Delay (ms)
24712,8 Pubs and Subs ,100.78
24712,8 Pubs and Subs ,124.97
24712,8 Pubs and Subs ,156.48
24712,8 Pubs and Subs ,156.73
24713,8 Pubs and Subs ,138.09
24713,8 Pubs and Subs ,162.77
24713,8 Pubs and Subs ,211.44
24713,8 Pubs and Subs ,219.19
24713,8 Pubs and Subs ,220.76
24713,8 Pubs and Subs ,252.92
24713,8 Pubs and Subs ,274.45
24713,8 Pubs and Subs ,309.76
24713,8 Pubs and Subs ,309.85
24713,8 Pubs and Subs ,357.12
24761,8 Pubs and Subs ,155.12
24761,8 Pubs and Subs ,188.17
24762,8 Pubs and Subs ,172.84
24713,8 Pubs and Subs ,429.02
24713,8 Pubs and Subs ,436.01
24764,8 Pubs and Subs ,202.03
24762,8 Pubs and Subs ,233.73
24761,8 Pubs and Subs ,293.73
24763,8 Pubs and Subs ,204.12
24764,8 Pubs and Subs ,260.34
24761,8 Pubs and Subs ,331.31
24762,8 Pubs and Subs ,321.36
24763,8 Pubs and Subs ,271.83
24766,8 Pubs and Subs ,142.90
24764,8 Pubs and Subs ,374.51
24762,8 Pubs and Subs ,422.71
24766,8 Pubs and Subs ,205.55
24765,8 Pubs and Subs ,233.90
24763,8 Pubs and Subs ,399.37
24765,8 Pubs and Subs ,278.86
24764,8 Pubs and Subs ,486.74
24766,8 Pubs and Subs ,357.66
24767,8 Pubs and Subs ,237.93
24767,8 Pubs and Subs ,271.07
24763,8 Pubs and Subs ,533.53
24765,8 Pubs and Subs ,439.43
24768,8 Pubs and Subs ,328.51
24766,8 Pubs and Subs ,479.04
24768,8 Pubs and Subs ,353.70
24770,8 Pubs and Subs ,282.09
24767,8 Pubs and Subs ,416.81
24765,8 Pubs and Subs ,540.00
24770,8 Pubs and Subs ,336.87
24769,8 Pubs and Subs ,351.89
24768,8 Pubs and Subs ,511.59
24767,8 Pubs and Subs ,524.27
24769,8 Pubs and Subs ,416.17
24772,8 Pubs and Subs ,269.57
24768,8 Pubs and Subs ,597.58
24770,8 Pubs and Subs ,482.39
24769,8 Pubs and Subs ,517.43
24770,8 Pubs and Subs ,556.73
24771,8 Pubs and Subs ,347.14
24772,8 Pubs and Subs ,353.91
24773,8 Pubs and Subs ,411.84
24772,8 Pubs and Subs ,463.43
24769,8 Pubs and Subs ,634.93
24771,8 Pubs and Subs ,479.75
24774,8 Pubs and Subs ,475.23
24771,8 Pubs and Subs ,561.51
24772,8 Pubs and Subs ,566.15
24773,8 Pubs and Subs ,557.37
24775,8 Pubs and Subs ,378.49
24771,8 Pubs and Subs ,649.61
24773,8 Pubs and Subs ,625.40
24777,8 Pubs and Subs ,469.17
24774,8 Pubs and Subs ,675.72
24773,8 Pubs and Subs ,724.97
24774,8 Pubs and Subs ,708.35
24776,8 Pubs and Subs ,544.57
24775,8 Pubs and Subs ,598.70
24774,8 Pubs and Subs ,785.71
24775,8 Pubs and Subs ,629.31
24777,8 Pubs and Subs ,656.73
24778,8 Pubs and Subs ,563.75
24777,8 Pubs and Subs ,678.97
24775,8 Pubs and Subs ,713.32
24776,8 Pubs and Subs ,708.66
24776,8 Pubs and Subs ,710.73
24777,8 Pubs and Subs ,762.44
24779,8 Pubs and Subs ,578.46
24778,8 Pubs and Subs ,684.77
24778,8 Pubs and Subs ,718.42
24776,8 Pubs and Subs ,810.99
24779,8 Pubs and Subs ,652.30
24784,8 Pubs and Subs ,542.95
24784,8 Pubs and Subs ,582.84
24779,8 Pubs and Subs ,712.56
24778,8 Pubs and Subs ,799.46
24780,8 Pubs and Subs ,598.59
24780,8 Pubs and Subs ,618.90
24779,8 Pubs and Subs ,789.54
24784,8 Pubs and Subs ,676.94
24783,8 Pubs and Subs ,661.42
24783,8 Pubs and Subs ,663.16
24785,8 Pubs and Subs ,636.30
24784,8 Pubs and Subs ,757.75
24780,8 Pubs and Subs ,755.09
24785,8 Pubs and Subs ,671.68
24786,8 Pubs and Subs ,562.82
24786,8 Pubs and Subs ,606.51
24787,8 Pubs and Subs ,496.68
24780,8 Pubs and Subs ,842.21
24783,8 Pubs and Subs ,839.10
24788,8 Pubs and Subs ,543.93
24787,8 Pubs and Subs ,570.58
24785,8 Pubs and Subs ,841.57
24789,8 Pubs and Subs ,600.89
24783,8 Pubs and Subs ,962.00
24790,8 Pubs and Subs ,499.18
24786,8 Pubs and Subs ,799.53
24788,8 Pubs and Subs ,666.97
24793,8 Pubs and Subs ,388.72
24785,8 Pubs and Subs ,964.75
24791,8 Pubs and Subs ,370.39
24789,8 Pubs and Subs ,758.60
24787,8 Pubs and Subs ,765.41
24786,8 Pubs and Subs ,917.14
24792,8 Pubs and Subs ,420.65
24790,8 Pubs and Subs ,666.03
24788,8 Pubs and Subs ,829.18
24794,8 Pubs and Subs ,440.82
24787,8 Pubs and Subs ,859.15
24793,8 Pubs and Subs ,582.60
24789,8 Pubs and Subs ,902.92
24804,8 Pubs and Subs ,264.07
24788,8 Pubs and Subs ,927.52
24800,8 Pubs and Subs ,302.56
24791,8 Pubs and Subs ,584.15
24790,8 Pubs and Subs ,832.16
24789,8 Pubs and Subs ,1004.96
24803,8 Pubs and Subs ,187.71
24792,8 Pubs and Subs ,652.27
24793,8 Pubs and Subs ,733.78
24802,8 Pubs and Subs ,236.18
24790,8 Pubs and Subs ,913.22
24805,8 Pubs and Subs ,233.21
24791,8 Pubs and Subs ,732.67
24793,8 Pubs and Subs ,806.17
24794,8 Pubs and Subs ,706.34
24806,8 Pubs and Subs ,120.04
24791,8 Pubs and Subs ,784.42
24804,8 Pubs and Subs ,542.05
24792,8 Pubs and Subs ,836.13
24792,8 Pubs and Subs ,837.45
24794,8 Pubs and Subs ,863.32
24807,8 Pubs and Subs ,147.04
24800,8 Pubs and Subs ,628.33
