PID, Clients, Delay (ms)
14518,8 Pubs and Subs ,1.15
14518,8 Pubs and Subs ,1.19
14518,8 Pubs and Subs ,1.70
14518,8 Pubs and Subs ,1.74
14516,8 Pubs and Subs ,0.53
14516,8 Pubs and Subs ,0.82
14516,8 Pubs and Subs ,1.58
14516,8 Pubs and Subs ,1.87
14519,8 Pubs and Subs ,2.57
14519,8 Pubs and Subs ,3.34
14519,8 Pubs and Subs ,3.64
14519,8 Pubs and Subs ,4.01
14517,8 Pubs and Subs ,10.38
14517,8 Pubs and Subs ,10.84
14517,8 Pubs and Subs ,11.23
14517,8 Pubs and Subs ,11.25
14565,8 Pubs and Subs ,3.83
14565,8 Pubs and Subs ,3.99
14566,8 Pubs and Subs ,2.55
14566,8 Pubs and Subs ,2.68
14565,8 Pubs and Subs ,4.60
14565,8 Pubs and Subs ,5.02
14566,8 Pubs and Subs ,4.11
14566,8 Pubs and Subs ,4.57
14567,8 Pubs and Subs ,2.95
14568,8 Pubs and Subs ,0.57
14567,8 Pubs and Subs ,3.58
14568,8 Pubs and Subs ,1.09
14567,8 Pubs and Subs ,3.44
14568,8 Pubs and Subs ,1.90
14567,8 Pubs and Subs ,5.02
14568,8 Pubs and Subs ,2.56
14570,8 Pubs and Subs ,4.24
14570,8 Pubs and Subs ,4.27
14570,8 Pubs and Subs ,4.34
14570,8 Pubs and Subs ,4.60
14569,8 Pubs and Subs ,4.63
14569,8 Pubs and Subs ,4.71
14569,8 Pubs and Subs ,5.16
14571,8 Pubs and Subs ,3.26
14571,8 Pubs and Subs ,3.41
14569,8 Pubs and Subs ,5.84
14571,8 Pubs and Subs ,4.10
14571,8 Pubs and Subs ,4.30
14572,8 Pubs and Subs ,2.94
14572,8 Pubs and Subs ,2.94
14572,8 Pubs and Subs ,3.62
14572,8 Pubs and Subs ,4.26
14574,8 Pubs and Subs ,3.71
14574,8 Pubs and Subs ,3.76
14574,8 Pubs and Subs ,3.84
14573,8 Pubs and Subs ,2.41
14574,8 Pubs and Subs ,4.14
14573,8 Pubs and Subs ,2.86
14573,8 Pubs and Subs ,3.04
14573,8 Pubs and Subs ,3.28
14575,8 Pubs and Subs ,3.07
14575,8 Pubs and Subs ,3.37
14575,8 Pubs and Subs ,3.64
14575,8 Pubs and Subs ,3.95
14576,8 Pubs and Subs ,1.28
14576,8 Pubs and Subs ,1.62
14576,8 Pubs and Subs ,1.63
14576,8 Pubs and Subs ,1.89
14577,8 Pubs and Subs ,6.59
14577,8 Pubs and Subs ,6.92
14578,8 Pubs and Subs ,2.04
14577,8 Pubs and Subs ,7.17
14577,8 Pubs and Subs ,6.64
14579,8 Pubs and Subs ,0.81
14578,8 Pubs and Subs ,3.35
14578,8 Pubs and Subs ,3.35
14578,8 Pubs and Subs ,3.70
14579,8 Pubs and Subs ,2.02
14579,8 Pubs and Subs ,2.34
14579,8 Pubs and Subs ,2.39
14580,8 Pubs and Subs ,0.61
14580,8 Pubs and Subs ,1.29
14580,8 Pubs and Subs ,1.92
14580,8 Pubs and Subs ,2.55
14581,8 Pubs and Subs ,2.46
14581,8 Pubs and Subs ,2.80
14581,8 Pubs and Subs ,3.04
14581,8 Pubs and Subs ,3.29
14582,8 Pubs and Subs ,0.43
14582,8 Pubs and Subs ,1.14
14582,8 Pubs and Subs ,1.59
14582,8 Pubs and Subs ,1.67
14583,8 Pubs and Subs ,3.13
14583,8 Pubs and Subs ,4.47
14583,8 Pubs and Subs ,5.34
14583,8 Pubs and Subs ,5.99
14584,8 Pubs and Subs ,4.11
14584,8 Pubs and Subs ,4.80
14584,8 Pubs and Subs ,5.46
14584,8 Pubs and Subs ,5.47
14585,8 Pubs and Subs ,0.50
14585,8 Pubs and Subs ,1.12
14585,8 Pubs and Subs ,1.64
14585,8 Pubs and Subs ,2.12
14586,8 Pubs and Subs ,4.06
14586,8 Pubs and Subs ,4.09
14586,8 Pubs and Subs ,4.65
14586,8 Pubs and Subs ,4.71
14588,8 Pubs and Subs ,12.94
14588,8 Pubs and Subs ,14.05
14588,8 Pubs and Subs ,14.28
14588,8 Pubs and Subs ,14.98
14587,8 Pubs and Subs ,0.40
14587,8 Pubs and Subs ,1.57
14587,8 Pubs and Subs ,2.46
14587,8 Pubs and Subs ,3.40
14589,8 Pubs and Subs ,0.50
14589,8 Pubs and Subs ,0.55
14589,8 Pubs and Subs ,1.41
14589,8 Pubs and Subs ,1.71
14591,8 Pubs and Subs ,0.36
14591,8 Pubs and Subs ,0.94
14591,8 Pubs and Subs ,1.58
14591,8 Pubs and Subs ,2.20
14590,8 Pubs and Subs ,0.46
14590,8 Pubs and Subs ,0.46
14590,8 Pubs and Subs ,1.11
14590,8 Pubs and Subs ,1.13
14592,8 Pubs and Subs ,2.23
14592,8 Pubs and Subs ,2.53
14592,8 Pubs and Subs ,2.90
14592,8 Pubs and Subs ,2.77
14593,8 Pubs and Subs ,1.16
14593,8 Pubs and Subs ,1.85
14593,8 Pubs and Subs ,2.51
14593,8 Pubs and Subs ,3.08
14594,8 Pubs and Subs ,0.44
14594,8 Pubs and Subs ,0.90
14594,8 Pubs and Subs ,1.27
14594,8 Pubs and Subs ,1.66
14595,8 Pubs and Subs ,0.63
14595,8 Pubs and Subs ,0.87
14595,8 Pubs and Subs ,1.11
14595,8 Pubs and Subs ,1.13
14596,8 Pubs and Subs ,1.85
14596,8 Pubs and Subs ,2.42
14596,8 Pubs and Subs ,2.88
14596,8 Pubs and Subs ,4.54
14597,8 Pubs and Subs ,0.45
14597,8 Pubs and Subs ,0.50
14597,8 Pubs and Subs ,0.52
14597,8 Pubs and Subs ,0.85
14598,8 Pubs and Subs ,0.45
14598,8 Pubs and Subs ,1.20
14598,8 Pubs and Subs ,1.48
14598,8 Pubs and Subs ,1.70
14599,8 Pubs and Subs ,2.12
14599,8 Pubs and Subs ,2.57
14599,8 Pubs and Subs ,2.90
14599,8 Pubs and Subs ,3.21
14600,8 Pubs and Subs ,0.36
14600,8 Pubs and Subs ,0.41
14600,8 Pubs and Subs ,0.75
14600,8 Pubs and Subs ,0.83
14605,8 Pubs and Subs ,0.66
14605,8 Pubs and Subs ,0.91
14605,8 Pubs and Subs ,0.98
14605,8 Pubs and Subs ,1.15
14608,8 Pubs and Subs ,0.52
14608,8 Pubs and Subs ,0.52
14608,8 Pubs and Subs ,1.51
14608,8 Pubs and Subs ,1.51
14612,8 Pubs and Subs ,1.15
14612,8 Pubs and Subs ,2.11
14612,8 Pubs and Subs ,2.91
14612,8 Pubs and Subs ,3.67
14613,8 Pubs and Subs ,0.36
14613,8 Pubs and Subs ,0.79
14613,8 Pubs and Subs ,1.52
14613,8 Pubs and Subs ,1.86
14615,8 Pubs and Subs ,0.39
14615,8 Pubs and Subs ,0.40
14615,8 Pubs and Subs ,1.09
14615,8 Pubs and Subs ,1.30
14614,8 Pubs and Subs ,0.38
14614,8 Pubs and Subs ,0.87
14614,8 Pubs and Subs ,1.29
14614,8 Pubs and Subs ,1.73
14616,8 Pubs and Subs ,1.63
14616,8 Pubs and Subs ,1.63
14616,8 Pubs and Subs ,1.64
14616,8 Pubs and Subs ,2.08
14617,8 Pubs and Subs ,0.86
14617,8 Pubs and Subs ,0.98
14617,8 Pubs and Subs ,1.26
14617,8 Pubs and Subs ,1.51
14618,8 Pubs and Subs ,3.56
14618,8 Pubs and Subs ,3.89
14618,8 Pubs and Subs ,3.91
14618,8 Pubs and Subs ,4.19
14619,8 Pubs and Subs ,0.56
14619,8 Pubs and Subs ,0.84
14619,8 Pubs and Subs ,0.85
14619,8 Pubs and Subs ,1.04
14620,8 Pubs and Subs ,0.55
14620,8 Pubs and Subs ,1.23
14620,8 Pubs and Subs ,1.88
14620,8 Pubs and Subs ,2.51
14621,8 Pubs and Subs ,2.93
14621,8 Pubs and Subs ,3.83
14621,8 Pubs and Subs ,4.64
14621,8 Pubs and Subs ,5.68
14622,8 Pubs and Subs ,0.70
14622,8 Pubs and Subs ,1.52
14622,8 Pubs and Subs ,1.76
14622,8 Pubs and Subs ,2.26
14623,8 Pubs and Subs ,2.61
14623,8 Pubs and Subs ,2.61
14623,8 Pubs and Subs ,2.88
14623,8 Pubs and Subs ,3.06
14624,8 Pubs and Subs ,0.36
14624,8 Pubs and Subs ,0.80
14624,8 Pubs and Subs ,1.10
14624,8 Pubs and Subs ,1.58
14625,8 Pubs and Subs ,0.70
14625,8 Pubs and Subs ,0.70
14625,8 Pubs and Subs ,0.98
14625,8 Pubs and Subs ,0.99
14626,8 Pubs and Subs ,1.37
14626,8 Pubs and Subs ,2.27
14626,8 Pubs and Subs ,2.39
14626,8 Pubs and Subs ,2.61
14627,8 Pubs and Subs ,0.74
14627,8 Pubs and Subs ,1.55
14627,8 Pubs and Subs ,2.12
14627,8 Pubs and Subs ,2.44
14628,8 Pubs and Subs ,0.54
14628,8 Pubs and Subs ,0.55
14628,8 Pubs and Subs ,1.04
14628,8 Pubs and Subs ,1.05
